state,city,college,country
alabama,huntsville,alabama a&m university,united states
alabama,montgomery,alabama state university,united states
alabama,athens,athens state university,united states
alabama,auburn,auburn university,united states
alabama,montgomery,auburn university at montgomery,united states
alabama,jasper,bevill state community college,united states
alabama,birmingham,birmingham-southern college,united states
alabama,tanner,calhoun community college,united states
alabama,alexander city,central alabama community college,united states
alabama,enterprise,enterprise state community college,united states
alabama,gadsden,gadsden state community college,united states
alabama,montgomery,huntingdon college,united states
alabama,jacksonville,jacksonville state university,united states
alabama,andalusia,lurleen b. wallace community college,united states
alabama,marion,marion military institute,united states
alabama,fairfield,miles college,united states
alabama,birmingham,samford university,united states
alabama,boaz,snead state community college,united states
alabama,wadley,southern union state community college,united states
alabama,mobile,spring hill college,united states
alabama,troy,troy university,united states
alabama,dothan,troy university dothan,united states
alabama,montgomery,troy university montgomery,united states
alabama,phenix,troy university phenix city,united states
alabama,tuskeegee,tuskegee university,united states
alabama,tuscaloosa,university of alabama,united states
alabama,birmingham,university of alabama at birmingham,united states
alabama,huntsville,university of alabama in huntsville,united states
alabama,montevallo,university of montevallo,united states
alabama,florence,university of north alabama,united states
alabama,mobile,university of south alabama,united states
alabama,livingston,university of west alabama,united states
alaska,utqiagvik,ilisagvik college,united states
alaska,anchorage,university of alaska anchorage,united states
alaska,fairbanks,university of alaska fairbanks,united states
alaska,juneau ,university of alaska southeast,united states
american samoa,pago pago,american samoa community college,united states
arizona,tempe,arizona state university,united states
arizona,yuma,arizona western college,united states
arizona,tsaile,dine college,united states
arizona,prescott,embry-riddle aeronautical university at prescott,united states
arizona,phoenix,grand canyon university,united states
arizona,glendale,midwestern university at glendale,united states
arizona,kingman,mohave community college,united states
arizona,flagstaff,northern arizona university,united states
arizona,tucson,university of arizona,united states
arkansas,blytheville,arkansas northeastern college,united states
arkansas,jonesboro,arkansas state university,united states
arkansas,newport,arkansas state university-newport,united states
arkansas,russellville,arkansas tech university,united states
arkansas,pocahontas,black river technical college,united states
arkansas,conway,central baptist college,united states
arkansas,de queen,cossatot community college of the university of arkansas,united states
arkansas,searcy,harding university,united states
arkansas,arkadelphia,henderson state university,united states
arkansas,conway,hendrix college,united states
arkansas,siloam springs,john brown university,united states
arkansas,batesville,lyon college,united states
arkansas,hot springs,national park college,united states
arkansas,harrison,north arkansas college,united states
arkansas,bentonville,northwest arkansas community college,united states
arkansas,arkadelphia,ouachita baptist university,united states
arkansas,el dorado,south arkansas community college,united states
arkansas,magnolia,southern arkansas university,united states
arkansas,fayetteville,university of arkansas,united states
arkansas,mena,university of arkansas community college rich mountain,united states
arkansas,morrilton,university of arkansas community college at morrilton,united states
arkansas,texarkana,university of arkansas hope-texarkana,united states
arkansas,fort smith,university of arkansas at fort smith,united states
arkansas,little rock,university of arkansas at little rock,united states
arkansas,monticello,university of arkansas at monticello,united states
arkansas,pine bluff,university of arkansas at pine bluff,united states
arkansas,little rock,university of arkansas for medical sciences,united states
arkansas,north little rock,university of arkansas-pulaski technical college,united states
arkansas,conway,university of central arkansas,united states
arkansas,clarksville,university of the ozarks,united states
california,san francisco,academy of art university,united states
california,lancaster,antelope valley college,united states
california,azusa,azusa pacific university,united states
california,bakersfield,bakersfield college,united states
california,la mirada,biola university,united states
california,riverside,california baptist university,united states
california,pasadena,california institute of technology,united states
california,thousand oaks,california lutheran university,united states
california,san luis obispo,"california polytechnic state university, san luis obispo",united states
california,pomona,"california state polytechnic university, pomona",united states
california,vallejo,california state university maritime academy,united states
california,bakersfield,"california state university, bakersfield",united states
california,camarillo,"california state university, channel islands",united states
california,chico,"california state university, chico",united states
california,carson,"california state university, dominguez hills",united states
california,hayward,"california state university, east bay",united states
california,fullerton,"california state university, fullerton",united states
california,long beach,"california state university, long beach",united states
california,los angeles,"california state university, los angeles",united states
california,marina,"california state university, monterey bay",united states
california,los angeles,"california state university, northridge",united states
california,sacramento,"california state university, sacramento",united states
california,san bernardino,"california state university, san bernardino",united states
california,san marcos,"california state university, san marcos",united states
california,turlock,"california state university, stanislaus",united states
california,orange,chapman university,united states
california,claremont,claremont mckenna college,united states
california,irvine,concordia university irvine,united states
california,cypress,cypress college,united states
california,san rafael,dominican university of california,united states
california,torrance,el camino community college,united states
california,quincy,feather river college,united states
california,los altos,foothill college,united states
california,fresno,fresno pacific university,united states
california,fresno,fresno state university,united states
california,claremont,harvey mudd college,united states
california,oakland,holy names university,united states
california,arcata,humboldt state university,united states
california,los angeles,los angeles community college district,united states
california,los angeles,loyola marymount university,united states
california,atherton,menlo college,united states
california,oakland,mills college,united states
california,oceanside,miracosta college,united states
california,modesto,modesto junior college,united states
california,monterey,naval postgraduate school,united states
california,belmont,notre dame de namur university,united states
california,los angeles,occidental college,united states
california,malibu,pepperdine university,united states
california,claremont,pitzer college,united states
california,san diego,point loma nazarene university,united states
california,claremont,pomona college,united states
california,whittier,rio hondo college,united states
california,moraga,saint mary's college of california,united states
california,san diego,san diego city college,united states
california,san diego,san diego mesa college,united states
california,san diego,san diego miramar college,united states
california,san diego,san diego state university system,united states
california,san francisco,san francisco state university,united states
california,san jose,san jose state university,united states
california,santa ana,santa ana college,united states
california,santa clara,santa clara university,united states
california,santa monica,santa monica college,united states
california,orange,santiago canyon college,united states
california,claremont,scripps college,united states
california,redding,shasta college,united states
california,san bruno,skyline college,united states
california,fairfield,solano community college,united states
california,ronhert park,sonoma state university,united states
california,chula vista,southwestern college,united states
california,stanford,stanford university,united states
california,stockton,teachers college of san joaquin,united states
california,berkeley,"university of california, berkeley",united states
california,davis,"university of california, davis",united states
california,san francisco,"university of california, hastings college of law",united states
california,irvine ,"university of california, irvine",united states
california,los angeles,"university of california, los angeles",united states
california,merced,"university of california, merced",united states
california,riverside,"university of california, riverside",united states
california,san diego,"university of california, san diego",united states
california,san francisco,"university of california, san francisco",united states
california,santa barbara,"university of california, santa barbara",united states
california,santa cruz,"university of california, santa cruz",united states
california,la verne,university of la verne,united states
california,redlands,university of redlands,united states
california,san diego,university of san diego,united states
california,san francisco,university of san francisco,united states
california,los angeles,university of southern california,united states
california,stockton,university of the pacific,united states
california,santa barbara,westmont college,united states
california,whittier,whittier college,united states
colorado,alamosa,adams state university,united states
colorado,littleton,arapahoe community college,united states
colorado,lakewood,colorado christian university,united states
colorado,colorado springs,colorado college,united states
colorado,grand junction,colorado mesa university,united states
colorado,glenwood springs,colorado mountain college glenwood springs,united states
colorado,golden,colorado school of mines,united states
