city,country,lat,lng
tokyo,japan,35.6897,139.6922
jakarta,indonesia,-6.175,106.8275
delhi,india,28.61,77.23
guangzhou,china,23.13,113.26
mumbai,india,19.0761,72.8775
manila,philippines,14.5958,120.9772
shanghai,china,31.1667,121.4667
são paulo,brazil,-23.55,-46.6333
seoul,south korea,37.56,126.99
mexico city,mexico,19.4333,-99.1333
cairo,egypt,30.0444,31.2358
new york,united states,40.6943,-73.9249
dhaka,bangladesh,23.7639,90.3889
beijing,china,39.904,116.4075
kolkāta,india,22.5675,88.37
bangkok,thailand,13.7525,100.4942
shenzhen,china,22.535,114.054
moscow,russia,55.7558,37.6178
buenos aires,argentina,-34.5997,-58.3819
lagos,nigeria,6.455,3.3841
istanbul,turkey,41.0136,28.955
karachi,pakistan,24.86,67.01
bangalore,india,12.9789,77.5917
ho chi minh city,vietnam,10.7756,106.7019
ōsaka,japan,34.6939,135.5022
chengdu,china,30.66,104.0633
tehran,iran,35.6892,51.3889
kinshasa,congo (kinshasa),-4.325,15.3222
rio de janeiro,brazil,-22.9111,-43.2056
chennai,india,13.0825,80.275
xi’an,china,34.2667,108.9
lahore,pakistan,31.5497,74.3436
chongqing,china,29.55,106.5069
los angeles,united states,34.1141,-118.4068
baoding,china,38.8671,115.4845
london,united kingdom,51.5072,-0.1275
paris,france,48.8567,2.3522
linyi,china,35.1041,118.3502
dongguan,china,23.0475,113.7493
hyderābād,india,17.385,78.4867
tianjin,china,39.1467,117.2056
lima,peru,-12.06,-77.0375
wuhan,china,30.5872,114.2881
nanyang,china,32.9987,112.5292
hangzhou,china,30.25,120.1675
foshan,china,23.0292,113.1056
nagoya,japan,35.1833,136.9
taipei,taiwan,25.0375,121.5625
tongshan,china,34.261,117.1859
luanda,angola,-8.8383,13.2344
zhoukou,china,33.625,114.6418
ganzhou,china,25.8292,114.9336
kuala lumpur,malaysia,3.1478,101.6953
heze,china,35.2333,115.4333
quanzhou,china,24.9139,118.5858
chicago,united states,41.8375,-87.6866
nanjing,china,32.0608,118.7789
jining,china,35.4,116.5667
hanoi,vietnam,21.0283,105.8542
pune,india,18.5203,73.8567
fuyang,china,32.8986,115.8045
ahmedabad,india,23.03,72.58
johannesburg,south africa,-26.2044,28.0456
bogotá,colombia,4.7111,-74.0722
dar es salaam,tanzania,-6.8161,39.2803
shenyang,china,41.8025,123.4281
khartoum,sudan,15.5006,32.56
shangqiu,china,34.4259,115.6467
cangzhou,china,38.3037,116.8452
hong kong,hong kong,22.3,114.2
shaoyang,china,27.2418,111.4725
zhanjiang,china,21.1967,110.4031
yancheng,china,33.3936,120.1339
hengyang,china,26.8968,112.5857
riyadh,saudi arabia,24.6333,46.7167
zhumadian,china,32.9773,114.0253
santiago,chile,-33.4372,-70.6506
xingtai,china,37.0659,114.4753
chattogram,bangladesh,22.335,91.8325
bijie,china,27.3019,105.2863
shangrao,china,28.4419,117.9633
zunyi,china,27.705,106.9336
sūrat,india,21.1702,72.8311
surabaya,indonesia,-7.2458,112.7378
huanggang,china,30.45,114.875
maoming,china,21.6618,110.9178
nanchong,china,30.7991,106.0784
xinyang,china,32.1264,114.0672
madrid,spain,40.4169,-3.7033
baghdad,iraq,33.3153,44.3661
qujing,china,25.5102,103.8029
jieyang,china,23.5533,116.3649
singapore,singapore,1.3,103.8
prayagraj,india,25.4358,81.8464
liaocheng,china,36.45,115.9833
dalian,china,38.9,121.6
yulin,china,22.6293,110.1507
changde,china,29.0397,111.6839
qingdao,china,36.1167,120.4
douala,cameroon,4.05,9.7
miami,united states,25.784,-80.2101
nangandao,china,35.2992,113.8851
pudong,china,31.2231,121.5397
xiangyang,china,32.0654,112.1531
dallas,united states,32.7935,-96.7667
houston,united states,29.786,-95.3885
zhengzhou,china,34.7492,113.6605
lu’an,china,31.7542,116.5078
dezhou,china,37.4513,116.3105
jinan,china,36.6667,116.9833
giza,egypt,29.987,31.2118
zhaotong,china,27.3328,103.7144
yichun,china,27.8041,114.383
nairobi,kenya,-1.2864,36.8172
guadalajara,mexico,20.6767,-103.3475
philadelphia,united states,40.0077,-75.1339
ankara,turkey,39.93,32.85
tai’an,china,36.2001,117.0809
dazhou,china,31.2152,107.4947
langfang,china,39.5196,116.7006
yongzhou,china,26.4515,111.5953
toronto,canada,43.7417,-79.3733
suihua,china,46.6384,126.9808
saint petersburg,russia,59.95,30.3167
qiqihar,china,47.3398,123.9512
suzhou,china,33.6333,116.9683
monterrey,mexico,25.6667,-100.3
belo horizonte,brazil,-19.9167,-43.9333
weinan,china,34.4996,109.4684
rangoon,myanmar,16.795,96.16
zhangzhou,china,24.5093,117.6612
yuncheng,china,35.0304,110.998
xianyang,china,34.35,108.7167
guilin,china,25.2819,110.2864
atlanta,united states,33.7628,-84.422
taizhou,china,32.4831,119.9
kāshān,iran,33.9833,51.4333
bozhou,china,33.8626,115.7742
abidjan,côte d'ivoire,5.3167,-4.0333
suqian,china,33.9331,118.2831
huaihua,china,27.5494,109.9592
ji’an,china,27.1172,114.9793
xiaoganzhan,china,30.9273,113.911
pingdingshan,china,33.735,113.2999
jiujiang,china,29.7048,116.0021
alexandria,egypt,31.1975,29.8925
mianyang,china,31.4669,104.7385
sydney,australia,-33.8678,151.21
huanglongsi,china,34.795,114.345
washington,united states,38.9047,-77.0163
barcelona,spain,41.3825,2.1769
changsha,china,28.1987,112.9709
chenzhou,china,25.7989,113.0267
anqing,china,30.5,117.0333
jiangmen,china,22.5833,113.0833
xinpu,china,34.5906,119.1801
yibin,china,28.7596,104.64
yangzhou,china,32.3912,119.4363
melbourne,australia,-37.8142,144.9631
berlin,germany,52.52,13.405
hengshui,china,37.7348,115.686
timbío,colombia,2.3445,-76.6839
kunming,china,25.0433,102.7061
yiyang,china,28.5833,112.3333
guigang,china,23.0961,109.6092
changchun,china,43.9,125.2
jiangguanchi,china,34.0244,113.8201
casablanca,morocco,33.5333,-7.5833
meizhou,china,24.2998,116.1191
zhangjiakou,china,40.8108,114.8811
chifeng,china,42.2663,118.9223
ürümqi,china,43.8225,87.6125
suzhou,china,31.3,120.6194
i̇zmir,turkey,38.42,27.14
linfen,china,36.0812,111.5087
shantou,china,23.3735,116.6941
kabul,afghanistan,34.5253,69.1783
mogadishu,somalia,2.0392,45.3419
luzhou,china,28.8918,105.4409
hefei,china,31.8639,117.2808
boston,united states,42.3188,-71.0852
liuzhou,china,24.3264,109.4281
zhaoqing,china,23.05,112.4667
xiaoxita,china,30.7083,111.2803
shijiazhuang,china,38.0422,114.5086
ningbo,china,29.875,121.5492
fuzhou,china,27.9814,116.3577
phoenix,united states,33.5722,-112.0892
zhuzhou,china,27.8407,113.1469
amman,jordan,31.9497,35.9328
chuzhou,china,32.3062,118.3115
jeddah,saudi arabia,21.5433,39.1728
qingyuan,china,23.6842,113.0507
loudi,china,27.7378,111.9974
binzhou,china,37.3806,118.0125
deyang,china,31.1289,104.395
taiyuan,china,37.8733,112.5425
kano,nigeria,12.0,8.5167
wuhu,china,31.334,118.3622
nanning,china,22.8192,108.315
harbin,china,45.75,126.6333
abuja,nigeria,9.0667,7.4833
yokohama,japan,35.4442,139.6381
baojishi,china,34.3609,107.1751
zaozhuang,china,34.8667,117.55
xiamen,china,24.4797,118.0819
neijiang,china,29.5872,105.0635
fuzhou,china,26.0769,119.2917
baicheng,china,23.901,106.6194
anshan,china,41.1066,122.9895
medan,indonesia,3.5894,98.6739
yulinshi,china,38.2655,109.7388
wenzhou,china,27.9991,120.6561
changzhou,china,31.8122,119.9692
puyang,china,35.7639,115.03
jiaozuo,china,35.229,113.2304
nanchang,china,28.6842,115.8872
ibadan,nigeria,7.3964,3.9167
hechi,china,24.6928,108.085
detroit,united states,42.3834,-83.1024
montréal,canada,45.5089,-73.5617
busan,south korea,35.18,129.075
hohhot,china,40.8151,111.6629
seattle,united states,47.6211,-122.3244
algiers,algeria,36.7539,3.0589
hanzhong,china,33.0794,107.026
tangshan,china,39.6292,118.1742
shiyan,china,32.6351,110.7755
lucknow,india,26.85,80.95
siping,china,43.1715,124.3644
mashhad,iran,36.3,59.6
boankra,ghana,6.6944,-1.4028
changzhi,china,36.1953,113.097
dubai,united arab emirates,25.2631,55.2972
qinzhou,china,21.95,108.6167
guiyang,china,26.5794,106.7078
bengbu,china,32.9354,117.3531
san francisco,united states,37.7558,-122.4449
bazhou,china,31.8576,106.7559
qincheng,china,34.5809,105.7311
suining,china,30.5098,105.5737
wuxi,china,31.5667,120.2833
leshan,china,29.5854,103.7575
putian,china,25.4394,119.0103
zhenjiang,china,32.2109,119.4551
faisalabad,pakistan,31.4167,73.0911
guang’an,china,30.4673,106.6336
tongren,china,27.7233,109.1885
santa cruz,bolivia,-17.7892,-63.1975
qinhuangdao,china,39.9398,119.5881
tongliao,china,43.6172,122.264
jinzhou,china,41.1144,121.1292
heyuan,china,23.7503,114.6923
san diego,united states,32.8313,-117.1222
jaipur,india,26.9,75.8
xinzhou,china,38.4178,112.7233
lanzhou,china,36.0617,103.8318
wuzhou,china,23.4833,111.3167
athens,greece,37.9842,23.7281
addis ababa,ethiopia,9.03,38.74
chaoyang,china,41.5757,120.4486
brasília,brazil,-15.7939,-47.8828
taichung,taiwan,24.1439,120.6794
kuwait city,kuwait,29.3697,47.9783
budapest,hungary,47.4925,19.0514
shaoguan,china,24.8011,113.5927
shanwei,china,22.7664,115.3331
quezon city,philippines,14.63,121.03
rizhao,china,35.4164,119.4331
kyiv,ukraine,50.45,30.5233
sanaa,yemen,15.3483,44.2064
meishan,china,30.0575,103.8381
incheon,south korea,37.4833,126.6333
guatemala city,guatemala,14.6099,-90.5252
birmingham,united kingdom,52.48,-1.9025
zhongshan,china,22.5333,113.35
ningde,china,26.6617,119.5228
weihai,china,37.5,122.1
daqing,china,46.5979,125.008
bursa,turkey,40.1833,29.05
salvador,brazil,-12.9747,-38.4767
rome,italy,41.8931,12.4828
haikou,china,20.02,110.32
la paz,bolivia,-16.5,-68.15
xiangtan,china,27.8431,112.9228
pyongyang,north korea,39.0194,125.7381
minneapolis,united states,44.9635,-93.2678
omdurman,sudan,15.65,32.4833
malang,indonesia,-7.98,112.62
mudanjiang,china,44.5861,129.5997
stuttgart,germany,48.7775,9.18
brooklyn,united states,40.6501,-73.9496
kaohsiung,taiwan,22.615,120.2975
guayaquil,ecuador,-2.19,-79.8875
lisbon,portugal,38.7253,-9.15
longyan,china,25.0881,117.0244
tieling,china,42.2841,123.8365
manchester,united kingdom,53.4794,-2.2453
baotou,china,40.6562,109.8345
handan,china,36.6116,114.4894
cawnpore,india,26.4499,80.3319
dingxi,china,35.5806,104.6263
nanping,china,26.6448,118.1728
tampa,united states,27.9945,-82.4447
zigong,china,29.3498,104.7645
maracaibo,venezuela,10.6333,-71.6333
chaozhou,china,23.67,116.63
mbuji-mayi,congo (kinshasa),-6.15,23.6
denver,united states,39.762,-104.8758
gulou,china,26.0865,119.298
weifang,china,36.7167,119.1
huai’an,china,33.5058,119.1392
zibo,china,36.7831,118.0497
ankang,china,32.6877,109.0235
baoshan,china,25.1211,99.169
antananarivo,madagascar,-18.9333,47.5167
huludao,china,40.7094,120.8378
munich,germany,48.1375,11.575
yanjiang,china,30.1256,104.6397
santo domingo,dominican republic,18.4764,-69.8933
sanming,china,26.2658,117.6302
tashkent,uzbekistan,41.3111,69.2797
longba,china,33.535,105.349
yangjiang,china,21.8556,111.9627
jiamusi,china,46.8081,130.3653
luohe,china,33.583,114.0109
lincang,china,23.8864,100.0871
medellín,colombia,6.2308,-75.5906
xuanzhou,china,30.9475,118.7518
yunfu,china,22.9242,112.0353
shaoxing,china,30.0,120.5833
yantai,china,37.3997,121.2664
huizhou,china,23.1115,114.4152
lishui,china,28.45,119.9167
mirzāpur,india,25.146,82.569
hamburg,germany,53.55,10.0
guangyuan,china,32.4353,105.8398
cali,colombia,3.4206,-76.5222
lusaka,zambia,-15.4167,28.2833
huangshi,china,30.2018,115.0326
xining,china,36.6239,101.7787
ouagadougou,burkina faso,12.3686,-1.5275
daegu,south korea,35.8717,128.6017
fortaleza,brazil,-3.7275,-38.5275
yaoundé,cameroon,3.8667,11.5167
